player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Blake J.,Robredo T.,"[('2005-09-05', 'N'), ('2006-01-20', 'U'), ('2006-03-14', 'N'), ('2009-09-06', 'U')]","[('2006-01-20', 'UL'), ('2009-09-06', 'UL')]",4,2,2,4,1.224744871391589,0.11033568095992347,0.22067136191984693,,,,,,,
Blake J.,Spadea V.,"[('2007-07-20', 'N'), ('2009-02-12', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Simon G.,"[('2008-07-30', 'N'), ('2008-10-14', 'U')]","[('2008-10-14', 'UL')]",2,1,1,2,,,,,,,,,,
Blake J.,Vliegen K.,"[('2006-02-21', 'U'), ('2006-10-18', 'U'), ('2010-08-31', 'N')]","[('2006-02-21', 'UL'), ('2006-10-18', 'UL')]",2,1,2,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Beck A.,Blake J.,"[('2008-06-13', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Phau B.,"[('2008-06-10', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Greul S.,"[('2006-10-12', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Falla A.,"[('2007-08-14', 'N')]",[],1,,,,,,,,,,,,,
Berlocq C.,Blake J.,"[('2006-03-25', 'N'), ('2011-04-06', 'U'), ('2012-04-10', 'N')]","[('2011-04-06', 'UL')]",3,2,1,3,1.4142135623730956,0.07864960352514248,0.15729920705028497,,,,,,,
Blake J.,Rochus O.,"[('2005-10-15', 'N'), ('2005-10-31', 'N'), ('2006-10-13', 'N'), ('2009-09-03', 'N'), ('2011-10-18', 'N')]",[],1,,,,,,,,,,,,,
